t	s	v	ve	vh	zmixreal	zmix	zhm	qin	qhin	qout	qhout	srf	iin	temp	temph	pin	phin	nin	nhin	pomin	pomhin	xin1	xhin1	xin2	xhin2	zin	zhin	oin	ohin	ae	ah
0	165.16	27652400	27652400	0	11.16	5.94931153184166	0	221184	0	221184	0	1	215	1.47375	1.47375	200.588258044554	200.588258044554	9.8199551825495	9.8199551825495	48.33375	48.33375	0	0	0	0	0	0	13.8050699860611	13.8050699860611	0	0
1	165.16	27652400	27652400	0	11.16	5.94931153184166	0	221184	0	221184	0	1	215	1.47375	1.47375	200.588258044554	200.588258044554	9.8199551825495	9.8199551825495	48.33375	48.33375	0	0	0	0	0	0	13.8050699860611	13.8050699860611	0	0
2	165.15	27606000.0000001	27606000.0000001	0	11.15	5.94316469321852	0	312768	0	359167.999999959	0	1.4140625	138	1.4725	1.4725	141.852469777365	141.852469777365	6.94449869263169	6.94449869263169	48.33375	48.33375	0	0	0	0	0	0	13.8054496307058	13.8054496307058	0	0
3	165.15	27606000.0000001	27606000.0000001	0	11.15	5.94316469321852	0	351648	0	351648	0	1.27265625	54	1.47125	1.47125	126.168535772496	126.168535772496	6.1766794268616	6.1766794268616	48.33375	48.33375	0	0	0	0	0	0	13.8058292857908	13.8058292857908	0	0
4	165.14	27559600	27559600	0	11.14	5.93700990952175	0	310176	0	356576.000000093	0	1.145390625	22	1.47	1.47	143.037866460741	143.037866460741	7.0025307151328	7.0025307151328	48.33375	48.33375	0	0	0	0	0	0	13.8062089513166	13.8062089513166	0	0
5	165.14	27559600	27559600	0	11.14	5.93700990952175	0	290304	0	290304	0	1.0308515625	24.5	1.46875	1.46875	152.829148986327	152.829148986327	7.48187061527581	7.48187061527581	48.33375	48.33375	0	0	0	0	0	0	13.8065886272833	13.8065886272833	0	0
6	165.14	27559600	27559600	0	11.14	5.93700990952175	0	240192	0	240192	0	1	139	1.4675	1.4675	184.714367120165	184.714367120165	9.04283642709595	9.04283642709595	48.33375	48.33375	0	0	0	0	0	0	13.8069683136912	13.8069683136912	0	0
7	165.14	27559600	27559600	0	11.14	5.93700990952175	0	221184	0	221184	0	1	95.5	1.46625	1.46625	200.588258044554	200.588258044554	9.8199551825495	9.8199551825495	48.33375	48.33375	0	0	0	0	0	0	13.8073480105406	13.8073480105406	0	0
8	165.14	27559600	27559600	0	11.14	5.93700990952175	0	209088	0	209088	0	1	117	1.465	1.465	212.192537435562	212.192537435562	10.3880517633582	10.3880517633582	48.33375	48.33375	0	0	0	0	0	0	13.8077277178319	13.8077277178319	0	0
9	165.14	27559600	27559600	0	11.14	5.93700990952175	0	203904	0	203904	0	1	29	1.46375	1.46375	217.587262963585	217.587262963585	10.652154774291	10.652154774291	48.33375	48.33375	0	0	0	0	0	0	13.8081074355652	13.8081074355652	0	0
10	165.14	27559600	27559600	0	11.14	5.93700990952175	0	199584	0	199584	0	1	27.5	1.4625	1.4625	222.296943980112	222.296943980112	10.8827208949466	10.8827208949466	48.33375	48.33375	0	0	0	0	0	0	13.8084871637409	13.8084871637409	0	0
11	165.13	27513200	27513200	0	11.13	5.93084716533736	0	196128	0	242527.999999959	0	1	21	1.46125	1.46125	226.214070746282	226.214070746282	11.0744869019061	11.0744869019061	48.33375	48.33375	0	0	0	0	0	0	13.8088669023593	13.8088669023593	0	0
12	165.13	27513200	27513200	0	11.13	5.93084716533736	0	196128	0	196128	0	1	245.5	1.46	1.46	226.214070746282	226.214070746282	11.0744869019061	11.0744869019061	48.33375	48.33375	0	0	0	0	0	0	13.8092466514206	13.8092466514206	0	0
13	165.13	27513200	27513200	0	11.13	5.93084716533736	0	191808	0	191808	0	1	281	1.45875	1.45875	231.308982249576	231.308982249576	11.3239122825796	11.3239122825796	48.33375	48.33375	0	0	0	0	0	0	13.8096264109252	13.8096264109252	0	0
14	165.12	27466800.0000001	27466800.0000001	0	11.12	5.9246764452114	0	187488	0	233887.999999963	0	1	262	1.4575	1.4575	236.63868230141	236.63868230141	11.5848319204271	11.5848319204271	48.33375	48.33375	0	0	0	0	0	0	13.8100061808733	13.8100061808733	0	0
15	165.12	27466800.0000001	27466800.0000001	0	11.12	5.9246764452114	0	183168	0	183168	0	1	299.5	1.45625	1.45625	242.219783299085	242.219783299085	11.8580590883617	11.8580590883617	48.33375	48.33375	0	0	0	0	0	0	13.8103859612653	13.8103859612653	0	0
16	165.11	27420400.0000001	27420400.0000001	0	11.11	5.91849773364992	0	186624	0	233023.999999959	0	1.0188679245283	303	1.455	1.455	237.734231756509	237.734231756509	11.6384654015402	11.6384654015402	48.33375	48.33375	0	0	0	0	0	0	13.8107657521013	13.8107657521013	0	0
17	165.11	27420400.0000001	27420400.0000001	0	11.11	5.91849773364992	0	182304	0	182304	0	1	315.5	1.45375	1.45375	243.367744357374	243.367744357374	11.914258420534	11.914258420534	48.33375	48.33375	0	0	0	0	0	0	13.8111455533817	13.8111455533817	0	0
18	165.1	27374000	27374000	0	11.1	5.91231101511879	0	182304	0	228704.000000093	0	1	214	1.4525	1.4525	243.367744357374	243.367744357374	11.914258420534	11.914258420534	48.33375	48.33375	0	0	0	0	0	0	13.8115253651068	13.8115253651068	0	0
19	165.1	27374000	27374000	0	11.1	5.91231101511879	0	177984	0	177984	0	1	156	1.45125	1.45125	249.274728443718	249.274728443718	12.2034394501586	12.2034394501586	48.33375	48.33375	0	0	0	0	0	0	13.8119051872769	13.8119051872769	0	0
20	165.09	27327600	27327600	0	11.09	5.90611627404366	0	169344	0	215743.999999959	0	1	39	1.45	1.45	188.310466760962	188.310466760962	8.43911396241665	8.43911396241665	48.33375	48.33375	0	0	0	0	0	0	13.8122850198922	13.8122850198922	0	0
21	165.09	27327600	27327600	0	11.09	5.90611627404366	0	179712	0	179712	0	1.06122448979592	92.5	1.35666666666667	1.35666666666667	177.446401370906	177.446401370906	7.95224200304646	7.95224200304646	48.33375	48.33375	0	0	0	0	0	0	13.8406753825972	13.8406753825972	0	0
22	165.09	27327600	27327600	0	11.09	5.90611627404366	0	179712	0	179712	0	1	315	1.26333333333333	1.26333333333333	177.446401370906	177.446401370906	7.95224200304646	7.95224200304646	48.33375	48.33375	0	0	0	0	0	0	13.8691241000707	13.8691241000707	0	0
23	165.09	27327600	27327600	0	11.09	5.90611627404366	0	171072	0	171072	0	1	102	1.17	1.17	248.093473867823	248.093473867823	18.0168570490904	18.0168570490904	48.33375	48.33375	0	0	0	0	0	0	13.8976312922575	13.8976312922575	0	0
24	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	176256	0	222655.999999963	0	1.03030303030303	68.5	1.21529411764706	1.21529411764706	240.796606989358	240.796606989358	17.486949488823	17.486949488823	48.33375	48.33375	0	0	0	0	0	0	13.8837896089891	13.8837896089891	0	0
25	165.08	27281200.0000001	27281200.0000001	0	11.08	5.8999134948097	0	184032	0	184032	0	1.04411764705882	64	1.26058823529412	1.26058823529412	230.62210246868	230.62210246868	16.7480642991545	16.7480642991545	48.33375	48.33375	0	0	0	0	0	0	13.8699617116812	13.8699617116812	0	0
